科目,2025年7月,2025年8月,2025年9月,2025年10月
売上入金,6197222,6418396,6118784,6162936
その他経常収入,0,880000,110000,0
仕入支払い,0,0,0,0
外注費,2331210,1016588,611166,785790
給与・賞与,1405520,1333634,1429354,1411584
社会保険料・源泉所得税・住民税,1312809,1389500,568258,287138
広告宣伝費・販売費,1854050,1970876,1974054,1924208
交際費・福利厚生費,0,0,0,0
旅費交通費・車両関連費,0,36380,42840,37100
地代家賃・水道光熱費,3300,93025,3300,3300
保険料,62750,114500,50000,50000
会費・顧問料・手数料・システム利用料,212385,1297070,761070,415280
研修費・研究開発費,21000,10000,10000,10000
リース料・割賦支払い,65800,65800,65800,65800
修繕費・設備管理費・消耗品費,0,0,3400,0
雑費・銀行手数料,16650,4955,5535,5650
その他販管費,0,0,0,0
その他経常支出,0,0,0,20856
現金引出し・QR決済,0,0,0,0
クレジットカード支払い,478595,966500,535431,583841
消費税・租税公課,0,0,0,0
事業主貸（個人事業）,0,0,0,0
定期預金解約,0,0,0,0
固定資産売却,0,0,0,0
補助金・助成金等,0,0,0,0
その他経常外収入,0,14780,0,0
定期預金・投資等,0,0,0,0
固定資産の取得,2608980,0,0,0
法人税等,0,80000,0,0
その他経常外支出,0,0,0,0
短期借入金,0,0,0,0
長期借入金,15997502,0,0,0
役員・関係会社から入金,0,60000,30000,130000
受取利息・配当,228,429,2965,321
その他財務収入,5797,0,753,0
短期借入金返済,0,0,0,0
長期借入金返済,12784492,239644,642363,483523
役員・関係会社へ支出,0,0,111000,0
支払利息・保証料,608278,8493,8493,8767
その他財務支出,0,0,0,0
期首・期末現預金残高,8081954,,,
