科目,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月
売上入金,19813227,17189367,16656079,15854592,19656198,23157784,17586593,13104842,19149572
その他経常収入,8455,8860,9195,9640,8272,11842,8608,6785,8112
仕入支払い,14564857,11515002,13895880,13884439,13841489,13062177,12553299,9645686,12048437
外注費,117700,100650,379500,80000,152405,175800,0,0,0
給与・賞与,1557265,2637795,1836949,1715899,2228988,4349298,2290643,2630467,2484794
社会保険料・源泉所得税・住民税,1070856,896745,1053024,1000285,690166,86800,1053005,1379641,1342305
広告宣伝費・販売費,50000,0,0,0,0,51700,0,0,0
交際費・福利厚生費,109442,0,0,0,0,116000,0,0,0
旅費交通費・車両関連費,155651,253718,128439,266228,114604,198122,130130,240607,140767
地代家賃・水道光熱費,63134,71175,60235,63797,61351,66036,181885,182349,174641
保険料,128062,128062,130882,130882,129982,130826,73376,61376,63176
会費・顧問料・手数料・システム利用料,60500,130169,170500,76526,86250,215800,49500,111100,150700
研修費・研究開発費,0,0,0,0,0,0,0,0,0
リース料・割賦支払い,136090,135035,126063,121594,151662,109431,109431,166609,110091
修繕費・設備管理費・消耗品費,0,0,0,40307,0,0,142502,765805,171301
雑費・銀行手数料,21395,24640,15510,17325,14795,21120,13915,17035,420233
その他販管費,155193,91467,208622,52783,160493,162548,17770,64133,52041
その他経常支出,0,77000,0,180686,0,0,0,0,0
現金引出し・QR決済,0,0,0,0,0,0,0,0,0
クレジットカード支払い,0,0,0,0,0,0,0,0,0
消費税・租税公課,30000,2407600,30000,0,30000,0,0,2310800,0
事業主貸（個人事業）,0,0,0,0,0,0,0,0,0
定期預金解約,0,1400000,0,0,0,0,0,0,0
固定資産売却,0,0,0,0,0,0,0,0,0
補助金・助成金等,376000,2297000,121000,560000,249000,658000,1517000,2216000,362000
その他経常外収入,10500,0,0,0,900,0,0,0,0
定期預金・投資等,205000,5000,5000,5000,0,10000,5000,5000,5000
固定資産の取得,0,0,0,0,0,0,0,0,0
法人税等,0,637654,855,0,0,0,0,586300,0
その他経常外支出,0,2297000,0,0,0,0,1517000,2216000,532000
短期借入金,0,0,0,0,0,0,0,0,0
長期借入金,0,0,0,0,0,0,0,0,0
役員・関係会社から入金,0,0,0,0,0,0,0,0,0
受取利息・配当,0,1016,5586,15982,0,0,0,111,5892
その他財務収入,0,0,0,0,0,4287500,0,0,0
短期借入金返済,0,0,0,0,0,1124797,0,0,0
長期借入金返済,440000,440000,440000,440000,440000,0,473104,471700,952213
役員・関係会社へ支出,0,0,0,0,0,0,0,0,0
支払利息・保証料,50837,46250,48571,47737,52409,0,10342,10342,24267
その他財務支出,0,0,0,0,0,0,0,0,0
期首・期末現預金残高,7985465,,,,,,,,
